league	bet_a	bet_b	n_pair	phi	p_b_given_a	p_b	lift	joint_rate
bundesliga	HT1X_HOME	TEAM2_SCORE_FT	60	-0.275839	0.73913	0.8	0.923913	0.566667
bundesliga	HT05	HT1X_HOME	60	-0.261387	0.714286	0.766667	0.931677	0.583333
bundesliga	O15_FT	HT05	60	0.230333	0.849057	0.816667	1.039661	0.75
bundesliga	HT05	TEAM1_SCORE_FT	60	0.230333	0.918367	0.883333	1.039661	0.75
bundesliga	O15_FT	HT1X_HOME	60	-0.200492	0.735849	0.766667	0.959803	0.65
bundesliga	O15_FT	TEAM1_SCORE_FT	60	0.191375	0.90566	0.883333	1.025276	0.8
bundesliga	TEAM1_SCORE_FT	TEAM2_SCORE_FT	60	0.077876	0.811321	0.8	1.014151	0.716667
championship	O15_FT	TEAM2_SCORE_FT	94	0.531122	0.802817	0.659574	1.217174	0.606383
championship	O15_FT	HT05	94	0.498578	0.774648	0.638298	1.213615	0.585106
championship	HT05	HT1X_HOME	94	-0.440779	0.6	0.744681	0.805714	0.382979
championship	HT1X_HOME	TEAM2_SCORE_FT	94	-0.420664	0.542857	0.659574	0.823041	0.404255
championship	HT05	TEAM1_SCORE_FT	94	0.366729	0.8	0.670213	1.193651	0.510638
championship	O15_FT	TEAM1_SCORE_FT	94	0.337655	0.760563	0.670213	1.134809	0.574468
championship	O15_FT	HT1X_HOME	94	-0.276514	0.676056	0.744681	0.907847	0.510638
championship	HT05	TEAM2_SCORE_FT	94	0.253504	0.75	0.659574	1.137097	0.478723
championship	HT1X_HOME	TEAM1_SCORE_FT	94	0.211995	0.728571	0.670213	1.087075	0.542553
championship	TEAM1_SCORE_FT	TEAM2_SCORE_FT	94	-0.07417	0.634921	0.659574	0.962622	0.425532
copa del rey	HT05	HT1X_HOME	18	-0.5547	0.5	0.722222	0.692308	0.277778
copa del rey	O15_FT	TEAM1_SCORE_FT	18	0.443203	0.6875	0.611111	1.125	0.611111
copa del rey	O15_FT	HT05	18	0.395285	0.625	0.555556	1.125	0.555556
